,Unnamed: 0,name,address,date,neg,neu,pos
1090,1090,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",10_9_2018,0.039,0.73,0.231
1091,1091,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",7_26_2018,0.036000000000000004,0.7340000000000001,0.231
1092,1092,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",7_22_2019,0.05,0.738,0.212
1093,1093,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",10_13_2018,0.036000000000000004,0.703,0.261
1094,1094,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",5_6_2019,0.045,0.6859999999999999,0.26899999999999996
1095,1095,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",2_11_2019,0.018000000000000002,0.703,0.27899999999999997
1096,1096,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",1_31_2019,0.042,0.675,0.28300000000000003
1097,1097,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",4_28_2019,0.037000000000000005,0.6920000000000001,0.271
1098,1098,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",3_23_2019,0.033,0.67,0.298
1099,1099,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",1_17_2018,0.027999999999999997,0.706,0.266
1100,1100,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",6_4_2017,0.017,0.6859999999999999,0.297
1101,1101,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",7_18_2019,0.039,0.73,0.23199999999999998
1102,1102,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",4_21_2018,0.023,0.69,0.287
1103,1103,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",1_27_2017,0.027999999999999997,0.6970000000000001,0.275
1104,1104,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",7_12_2017,0.03,0.711,0.259
1105,1105,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",1_17_2017,0.038,0.7020000000000001,0.26
1106,1106,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",4_24_2019,0.044000000000000004,0.685,0.271
1107,1107,DragonbeardKitchen,"        8201 Cross Park Dr Ste B1 Austin, TX 78754    ",5_6_2018,0.034,0.726,0.24
1108,1108,BarlataTapasBar,"        1500 S Lamar Blvd Ste 150 Austin, TX 78704    ",5_18_2017,0.040999999999999995,0.732,0.228
1109,1109,BarlataTapasBar,"        1500 S Lamar Blvd Ste 150 Austin, TX 78704    ",11_12_2017,0.035,0.726,0.239
1110,1110,HomeSlicePizza,"        501 E 53rd St Austin, TX 78751    ",6_27_2019,0.040999999999999995,0.7020000000000001,0.257
1111,1111,BarlataTapasBar,"        1500 S Lamar Blvd Ste 150 Austin, TX 78704    ",4_2_2016,0.057999999999999996,0.769,0.17300000000000001
1112,1112,BarlataTapasBar,"        1500 S Lamar Blvd Ste 150 Austin, TX 78704    ",7_1_2016,0.043,0.733,0.22399999999999998
1113,1113,BarlataTapasBar,"        1500 S Lamar Blvd Ste 150 Austin, TX 78704    ",8_23_2018,0.035,0.693,0.272
